contract_id,renewal_status,assigned_to,last_action_date,notes
CTR-2024066,Not Started,Robert Singh,2026-02-19,Stakeholder approval pending
CTR-2024067,Completed,Sarah Mitchell,2026-03-03,Discount renegotiation requested
CTR-2024068,Not Started,Sarah Mitchell,2026-02-19,Counter-offer submitted
CTR-2024069,In Progress,Jennifer Kim,2026-03-02,Awaiting vendor response
CTR-2024070,Not Started,Sarah Mitchell,2026-03-01,Exploring alternative vendors
CTR-2024071,Completed,Maria Rodriguez,2026-02-16,Counter-offer submitted
CTR-2024072,Escalated,Emily Watson,2026-03-04,Counter-offer submitted
CTR-2024073,Escalated,Maria Rodriguez,2026-03-02,Final terms agreed
CTR-2024074,Completed,Robert Singh,2026-02-20,Discount renegotiation requested
CTR-2024075,Completed,Robert Singh,2026-02-11,Exploring alternative vendors
CTR-2024076,Not Started,James Chen,2026-03-01,Budget approval required
CTR-2024077,Not Started,Maria Rodriguez,2026-03-03,Final terms agreed
CTR-2024078,Completed,Robert Singh,2026-02-26,Vendor non-responsive - follow up needed
CTR-2024079,Completed,Michael Torres,2026-01-29,Initial review scheduled
CTR-2024080,Not Started,Robert Singh,2026-02-06,Awaiting vendor response
CTR-2024081,Escalated,Robert Singh,2026-03-07,Awaiting vendor response
CTR-2024082,In Progress,Michael Torres,2026-03-09,Budget approval required
CTR-2024083,Not Started,Michael Torres,2026-02-04,Escalated to VP for approval
CTR-2024084,Not Started,Jennifer Kim,2026-01-26,Budget approval required
CTR-2024085,Escalated,Robert Singh,2026-02-15,Exploring alternative vendors
CTR-2024086,Completed,Jennifer Kim,2026-02-28,Discount renegotiation requested
CTR-2024087,Completed,Sarah Mitchell,2026-03-09,Exploring alternative vendors
CTR-2024088,Not Started,Robert Singh,2026-02-06,Discount renegotiation requested
CTR-2024089,Not Started,James Chen,2026-02-06,Counter-offer submitted
CTR-2024090,Not Started,Michael Torres,2026-02-20,Initial review scheduled
CTR-2024091,Not Started,Jennifer Kim,2026-02-12,Discount renegotiation requested
CTR-2024092,Not Started,James Chen,2026-02-08,Signed and filed
CTR-2024093,Completed,James Chen,2026-02-06,Signed and filed
CTR-2024094,In Progress,James Chen,2026-02-06,Budget approval required
CTR-2024095,Not Started,James Chen,2026-02-12,Final terms agreed
CTR-2024096,Not Started,Sarah Mitchell,2026-03-04,Auto-renewal clause flagged for review
CTR-2024097,In Progress,David Park,2026-01-27,Exploring alternative vendors
CTR-2024098,Completed,Michael Torres,2026-02-14,Discount renegotiation requested
CTR-2024099,Not Started,David Park,2026-02-08,Counter-offer submitted
CTR-2024100,Completed,Michael Torres,2026-01-23,Signed and filed
